,01_GEMM_001_12M,01_GEMM_001_18M,01_GEMM_001_24M,01_GEMM_001_30M,01_GEMM_001_36M,01_GEMM_001_48M,01_GEMM_001_60M,01_GEMM_006_12M,01_GEMM_006_18M,01_GEMM_006_24M,01_GEMM_006_30M,01_GEMM_006_36M,01_GEMM_006_48M,01_GEMM_006_72M,01_GEMM_006_84M,01_GEMM_009_12M,01_GEMM_009_18M,01_GEMM_009_24M,01_GEMM_009_30M,01_GEMM_009_36M,01_GEMM_009_48M,01_GEMM_009_60M,01_GEMM_009_72M,01_GEMM_009_84M,01_GEMM_011_12M,01_GEMM_011_18M,01_GEMM_011_24M,01_GEMM_011_30M,01_GEMM_011_36M,01_GEMM_011_48M,01_GEMM_011_60M,01_GEMM_011_72M,01_GEMM_011_84M,01_GEMM_014_12M,01_GEMM_014_18M,01_GEMM_014_24M,01_GEMM_014_30M,01_GEMM_014_36M,01_GEMM_014_48M,01_GEMM_016_18M,01_GEMM_016_24M,01_GEMM_016_30M,01_GEMM_016_36M,01_GEMM_016_48M,01_GEMM_019_12M,01_GEMM_019_18M,01_GEMM_019_24M,01_GEMM_019_30M,01_GEMM_019_36M,01_GEMM_019_48M,01_GEMM_019_60M,01_GEMM_026_12M,01_GEMM_026_18M,01_GEMM_026_24M,01_GEMM_026_30M,01_GEMM_026_36M,01_GEMM_026_48M,01_GEMM_026_60M,01_GEMM_041_12M,01_GEMM_041_18M,01_GEMM_041_24M,01_GEMM_041_30M,01_GEMM_052_12M,01_GEMM_052_18M,01_GEMM_052_24M,01_GEMM_052_30M,01_GEMM_052_36M,01_GEMM_052_48M,01_GEMM_052_60M,01_GEMM_053_12M,01_GEMM_053_18M,01_GEMM_053_24M,01_GEMM_057_12M,01_GEMM_057_18M,01_GEMM_057_24M,01_GEMM_057_30M,01_GEMM_057_36M,01_GEMM_057_48M,01_GEMM_060_12M,01_GEMM_060_24M,01_GEMM_060_30M,01_GEMM_060_36M,01_GEMM_060_48M,01_GEMM_060_60M,01_GEMM_061_12M,01_GEMM_061_18M,01_GEMM_061_24M,01_GEMM_061_30M,01_GEMM_061_36M,01_GEMM_061_48M,01_GEMM_061_60M,01_GEMM_061_72M,01_GEMM_062_12M,01_GEMM_062_18M,01_GEMM_062_24M,01_GEMM_062_30M,01_GEMM_062_36M,01_GEMM_062_48M,01_GEMM_068_12M,01_GEMM_068_18M,01_GEMM_068_24M,01_GEMM_068_30M,01_GEMM_068_36M,01_GEMM_068_48M,01_GEMM_068_60M,01_GEMM_079_12M,01_GEMM_079_18M,01_GEMM_079_24M,01_GEMM_079_30M,01_GEMM_079_36M,01_GEMM_079_48M,01_GEMM_079_60M,01_GEMM_081_12M,01_GEMM_081_18M,01_GEMM_085_12M,01_GEMM_085_24M,01_GEMM_093_12M,01_GEMM_093_18M,01_GEMM_102_18M,01_GEMM_102_24M,01_GEMM_102_30M,01_GEMM_105_12M,01_GEMM_105_18M,01_GEMM_105_24M,01_GEMM_105_30M,01_GEMM_105_36M,01_GEMM_105_48M,01_GEMM_106_12M,01_GEMM_106_18M,01_GEMM_106_30M,01_GEMM_106_36M,01_GEMM_106_48M,01_GEMM_109_12M,01_GEMM_109_18M,01_GEMM_109_24M,01_GEMM_109_30M,01_GEMM_109_36M,01_GEMM_119_12M,01_GEMM_119_18M,01_GEMM_119_24M,01_GEMM_128_12M,01_GEMM_128_18M,01_GEMM_128_24M,01_GEMM_128_30M,01_GEMM_128_36M,01_GEMM_128_48M,01_GEMM_128_60M,01_GEMM_139_12M,01_GEMM_139_18M,01_GEMM_150_12M,01_GEMM_150_18M,01_GEMM_150_24M,01_GEMM_150_30M,01_GEMM_150_36M,01_GEMM_150_48M,01_GEMM_151_12M,01_GEMM_151_18M,01_GEMM_151_24M,01_GEMM_151_30M,01_GEMM_151_36M,01_GEMM_151_48M,01_GEMM_151_54M,01_GEMM_152_12M,01_GEMM_152_18M,01_GEMM_152_24M,01_GEMM_152_30M,01_GEMM_152_36M,01_GEMM_152_48M,01_GEMM_152_54M,01_GEMM_154_12M,01_GEMM_154_18M,01_GEMM_154_24M,01_GEMM_154_36M,01_GEMM_154_48M,01_GEMM_154_60M,01_GEMM_175_12M,01_GEMM_175_18M,01_GEMM_175_24M,01_GEMM_175_30M,01_GEMM_175_36M,01_GEMM_175_48M,01_GEMM_179_12M,01_GEMM_179_18M,01_GEMM_179_24M,01_GEMM_179_30M,01_GEMM_179_36M,01_GEMM_179_48M
contig_24486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6639,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0,0,0,0,0,84,0,623,0,0,0,3227,0,0,84,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8931,6007,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24514,0,0,307,0,0,293,0,896,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,710,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12139,244,0,0,0,0,0,0,0,0,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2984,0,0,0,0,0,0,1109,4884,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24520,0,0,0,0,0,0,0,0,0,0,0,32,39,0,0,0,0,0,0,0,0,74,0,240,0,0,0,0,0,0,0,0,0,0,0,329,29,0,297,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,135,358,0,9594,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24521,0,0,0,0,0,0,0,0,1291,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0,0,0,0,0,145,0,0,0,0,12509,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,4292,0,0,38,0,0,0,0,0,0,0,0,0,161,0,758,0,5203,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,1106,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,0,0
contig_24526,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4035,782,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,438,0,231,0,0,0,0,0,327,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,886,0,0,0,0,0,0,0,0,0,1065,798,302,819,0,0,0,0,0,2317,0,0,0,0,0,674,0,0,0,0,0,0,0,484,0,2125,0,0,0,5750,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,173,0,0,0,30,372,0,0,0,0,0,0,0,0
contig_24534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,0,0,0,0,0,0,0,0,0,0,0,32,1662,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,151,0,0,0,0,0,3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073,0,0,136,0,0,0,0,0,0,0,0
contig_24570,0,62,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,119,0,0,0,0,1039,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,3062,0,0,0,0,0,0,0,0,0,152,0,62,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,333,0,0,0,0,0,0,208,143,1111,0,0,0,0,0,0,186,0,0,0,0,5286,0,210,0,0,0,0,0,0,0,0,0,0,132,0,109,0,2084,0,0,0,0,0,0,389,30,0,0,156,119,0,0,0,0,0,0,2007,0,0,0,0,0,0,228,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0
contig_24572,0,0,0,351,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,1414,0,0,0,89,637,5020,0,0,0,0,0,3449,0,0,0,0,0,0,0,208,113,1445,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0
contig_24573,0,544,0,0,0,1102,0,0,0,0,97,186,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,0,1440,773,6226,0,0,0,24130,1572,2601,607,1462,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,0,467,1840,0,1064,454,0,0,0,0,1201,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,522,4495,0,0,0,0,0,0,12507,642,0,0,0,0,3732,20177,0,5255,206,0,480,126,1827,591,2788,2290,1443,0,0,0,777,0,6511,0,0,0,0,0,0,0,1313,476,2602,0,6383,7830,600,0,0,0,0,0,0,0,205,0,0,301,3994,0,0,0,0,0,1003,5339,0,0,0,0,0,0,39,0,0,0,0,0,790,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0
contig_24582,0,0,0,580,0,0,0,0,0,0,0,3446,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,261,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,1686,0,458,579,0,256,0,968,321,0,0,0,0,0,0,401,0,0,0,0,0,0,0,535,0,14878,0,0,590,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,423,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,201,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0
contig_24603,0,0,0,712,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,209,0,131,0,367,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,318,0,0,0,0,311,0,0,640,0,0,30,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,250,0,1502,168,0,0,136,394,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,3803,223,0,0,0,0,0,0,0,0,132,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,34
contig_24610,0,25423,25822,2626,388,0,0,0,0,0,4031,7506,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,64661,2098,0,0,0,200404,4496,0,8909,948,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746,10483,0,0,0,0,0,0,0,0,0,0,1385,0,568,0,0,0,0,0,0,0,0,0,0,3657,0,0,0,0,0,0,0,3527,0,0,0,0,0,3269,0,0,5244,0,218,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,3690,0,0,16133,0,0,0,0,0,0,0,0,1600,0,0,2346,583,0,0,0,0,16857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24046,0,342,208,445,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0
contig_24612,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713,0,396,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,900,91645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13193,0,0,3985,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0
contig_24615,0,774,2360,0,477,685,0,0,0,0,0,227,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,1966,890,0,0,0,11095,0,830,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914,2516,0,0,0,0,0,0,0,0,0,0,414,0,625,0,0,0,0,708,0,0,0,0,0,0,298,0,0,0,0,0,0,903,0,0,0,0,0,553,3809,0,6473,0,169,494,0,0,4204,3175,2146,1895,0,0,0,6239,0,2057,0,0,0,0,0,0,0,180,0,3022,0,4329,5859,524,0,0,0,0,0,0,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,906,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,2234,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,5502,0,0,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,863,0,1146,271,0,145,0,364,0,0,0,0,0,0,7216,52429,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,103,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,37,0,65,1057,157,0,0,218,0,0,0,0,0,0,0,0,485
contig_24658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601,0,190,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,329,0,0,0,0,0,0,0,0,0,0,0,0
contig_24671,48354,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772,7324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,17506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6893,0,0,0,0,0,733,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,543
contig_24720,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173,0,0,0,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,124,165,1499,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,0,0,0,0,0,0,0,0
contig_24726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,1001,0,0,0,0,12245,0,0,0,2760,0,0,1256,0,0,0,0,0,0,0,113,0,0,0,0,967,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,593,0,1323,4248,0,203,0,0,718,0,0,0,0,1137,224,1052,0,0,0,0,0,0,0,0,0,0,835,0,0,0,0,237,655,917,160,0,0,0,0,4832,267,3910,4263,7334,5570,0,0,0,2905,1079,0,14799,0,8394,0,2414,0,1103,0,0,0,0,0,0,150,1029,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,673,0,90,0,0,951,54359,0,1314,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,623,90,9585,0,106,5414,0,0,0,0,0,0,0,0
contig_24728,0,0,0,1291,0,0,0,1647,0,0,0,357,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,0,0,0,1223,0,4235,0,4799,447,4022,0,0,0,0,0,0,0,0,0,312,0,0,24,0,0,0,0,0,0,0,0,0,1578,0,0,677,534,0,0,0,4702,0,7108,3093,0,0,0,0,0,0,950,0,0,0,0,0,0,0,370,0,303,0,0,2790,3714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_24730,0,0,975,2983,0,1764,3793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926,0,1100,0,0,0,14196,1016,0,1715,190,640,0,0,0,0,0,0,0,0,0,0,0,0,0,10273,431,445,0,700,3172,0,0,0,0,0,0,0,5451,0,1770,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,0,0,0,0,0,237,0,1754,0,357,324,4873,3319,1973,791,764,362,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,2684,0,20583,15461,1702,0,0,0,0,0,0,1969,6028,0,0,1165,1134,0,0,0,75,0,0,0,0,0,0,0,0,0,28002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0
contig_24769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,92,0,120,0,0,0,0,0,0,0,0,0,0,671,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
contig_24789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,107,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,302,0,0,0,0,84,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,98,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0
contig_24792,0,0,0,0,0,0,6861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,19015,0,0,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,6544,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,1122,0,0,0,0,0,0,0,0,2874,0,0,0,0,0,0,0,0,0,0,0
contig_24798,0,1518,1623,702,1104,944,0,0,0,0,719,401,579,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,3566,0,0,13035,2844,9873,0,0,0,27044,1937,5145,1970,3779,4330,0,0,0,0,0,0,0,0,0,0,0,188,0,970,1890,6419,0,0,0,0,0,0,0,0,0,0,3084,0,1070,179,835,0,0,3406,0,0,0,0,0,594,645,0,0,0,0,0,0,5267,0,0,0,0,0,3454,5393,0,5949,0,332,1377,0,4347,1667,5884,5093,1367,0,0,0,0,0,5778,0,0,0,0,0,0,0,0,559,4947,4976,5450,23729,2883,0,0,350,641,0,0,0,0,0,0,1645,8477,0,0,0,0,0,1765,7054,0,0,0,0,0,0,169,0,0,0,0,0,1212,0,0,94,1087,0,0,0,0,0,0,0,0,3235,0,0,1893,0,0,0,0,0,0,0,0
contig_248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,83,0,0,0,0,0,0,0,0,0,0,0,0,0,118,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0
