transeq_contig	profile_id	profile_name	e-value	i-value
sample-1_30_80291_6	VP02585	portal	4.6e-38	7.5e-38
sample-1_2_180874_4	VP02585	portal	8.6e-31	1.6e-30
sample-1_1093_6313_6	VP02585	portal	5.4e-27	1.9e-05
sample-1_6_155389_6	VP02585	portal	6.2e-25	7.3e-08
sample-1_10_102032_5	VP02585	portal	1.4e-23	3.3e-13
sample-1_3684_1680_2	VP02585	portal	6.5e-23	8.9e-23
sample-1_24_92306_1	VP02585	portal	7.4e-22	1.2e-21
sample-1_3125_2250_5	VP02585	portal	3.7e-21	1.3e-09
sample-1_4798_1110_6	VP02585	portal	1.4e-19	1.9e-19
sample-1_7_152939_2	VP02585	portal	9.1e-16	9.1e-16
sample-1_4_157545_2	VP02585	portal	9.4e-16	9.4e-16
sample-1_2895_2535_4	VP02585	portal	1.2e-15	1.5e-15
sample-1_24_92306_2	VP02585	portal	6e-07	9.5e-07
sample-1_2_180874_4	VP02684	portal	0.0	0.0
sample-1_1093_6313_6	VP02684	portal	2.1e-294	2.8e-294
sample-1_3_171347_3	VP02684	portal	1.3e-165	1.3e-165
sample-1_1971_3823_3	VP02684	portal	1.3e-57	0.00011
sample-1_3157_2206_1	VP02684	portal	9.2e-31	1.8e-30
sample-1_273_20403_4	VP02684	portal	1.1e-30	1.1e-30
sample-1_15_98423_4	VP02684	portal	1.7e-23	3.2e-23
sample-1_516_11797_4	VP02684	portal	7.8e-23	7.8e-23
sample-1_23_92914_1	VP02684	portal	2.4e-18	2.4e-18
sample-1_4411_1265_6	VP02684	portal	4.6e-17	6.7e-17
sample-1_4226_1355_4	VP02684	portal	2.8e-10	5.5e-10
sample-1_4798_1110_6	VP02684	portal	0.00055	0.00055
sample-1_2_180874_6	VP02686	TerL	0.0	0.0
sample-1_1093_6313_5	VP02686	TerL	0.0	0.0
sample-1_3_171347_3	VP02686	TerL	0.0	0.0
sample-1_4981_1057_5	VP02686	TerL	2.3e-168	2.8e-168
sample-1_12_101623_3	VP02686	TerL	1.7e-102	1.7e-102
sample-1_273_20403_6	VP02686	TerL	1.7e-97	2.7e-97
sample-1_2557_2904_6	VP02686	TerL	2.4e-97	3.5e-97
sample-1_2468_3000_5	VP02686	TerL	1.7e-96	2.6e-96
sample-1_22_93708_1	VP02686	TerL	2.6e-95	6.2e-95
sample-1_20_95736_1	VP02686	TerL	2.7e-95	6.4e-95
sample-1_16_98401_2	VP02686	TerL	3.1e-95	6.6e-95
sample-1_21_95604_4	VP02686	TerL	3.1e-95	6.4e-95
sample-1_18_96565_2	VP02686	TerL	8.8e-95	8.8e-95
sample-1_9_104613_6	VP02686	TerL	3.7e-94	6.6e-94
sample-1_309_18290_5	VP02686	TerL	2.4e-91	1.7e-18
sample-1_11_101626_6	VP02686	TerL	8.3e-87	8.3e-87
sample-1_13_99291_5	VP02686	TerL	4.2e-84	7.9e-76
sample-1_3635_1721_4	VP02686	TerL	8.8e-72	1.2e-71
sample-1_3406_1938_5	VP02686	TerL	1.9e-71	2.6e-71
sample-1_516_11797_6	VP02686	TerL	2.1e-58	3.3e-58
sample-1_15_98423_4	VP02686	TerL	3.1e-49	3.1e-49
sample-1_352_16508_3	VP02686	TerL	1.1e-36	3.2e-36
sample-1_23_92914_3	VP02686	TerL	3.5e-32	8.1e-18
sample-1_2370_3154_5	VP02686	TerL	9.3e-32	1.3e-31
sample-1_241_22966_6	VP02686	TerL	4.7e-24	9.6e-24
sample-1_3684_1680_2	VP02686	TerL	1.1e-13	1.6e-13
sample-1_4390_1275_6	VP02686	TerL	3.2e-13	2.1e-10
sample-1_3983_1483_3	VP02686	TerL	4.2e-08	6.4e-08
sample-1_2_180874_5	VP02696	MCP	5.1e-262	7.7e-262
sample-1_3_171347_2	VP02696	MCP	8.1e-257	1.5e-256
