genome	genus	species
MT074136_1_99494	genus__51	species__110
sample-1_13_99291	genus__52	species__111
sample-1_17_96846	genus__53	species__9
OGOL01000109	genus__53	species__9
EM181_T3_ms_1	genus__53	species__9
B7_NODE_1_length_96266_cov_47.336375	genus__53	species__9
OJNQ01000029	genus__53	species__9
OLPB01000029	genus__53	species__9
SRS143417_NODE_148_length_97094_cov_7.69295	genus__53	species__9
MZ130484_1_97536	genus__53	species__9
OBAR01000155	genus__53	species__9
OIWL01000160	genus__53	species__9
OLSC01000143	genus__53	species__9
OLWC01000038	genus__53	species__9
MT774397_1_97290	genus__54	species__116
MT774409_1_96717	genus__55	species__117
OLRZ01000056	genus__56	species__64
MT774392_1_95150	genus__56	species__64
MT774400_1_96055	genus__57	species__118
MH616963_1_94878	genus__58	species__119
MT774408_1_94826	genus__59	species__120
UMIU01010253	genus__60	species__42
Long_crAss_ms_16	genus__60	species__42
MZ130476_1_92241	genus__60	species__42
OLPO01000071	genus__60	species__42
ERR844018_ms_3	genus__61	species__19
OBJF01000120	genus__61	species__19
OLFZ01000126	genus__61	species__19
MZ130486_1_92361	genus__61	species__19
OLNV01000049	genus__61	species__19
HvCF_B1_ms_8	genus__61	species__19
ERR589874_NODE_149_length_91639_cov_83.8167	genus__61	species__19
2_lib200757_5	genus__61	species__19
MT774384_1_92668	genus__62	species__65
Rampelli_20005_NODE_59_length_93393_cov_174.533984	genus__62	species__65
NG-15813_44_lib254059_NODE_1_length_93391_cov_9.27449	genus__63	species__66
MZ130480_1_93391	genus__63	species__66
sample-1_23_92914	genus__64	species__123
MT774394_1_92815	genus__65	species__124
MT774379_1_92600	genus__66	species__125
sample-1_24_92306	genus__67	species__126
sample-1_352_16508	genus__68	species__27
SRS065504_NODE_131_length_90103_cov_73.092	genus__68	species__27
3300007806_____Ga0105890_100137	genus__68	species__27
3300007222_____Ga0104061_100253	genus__68	species__27
MZ130488_1_91714	genus__68	species__27
Long_crAss_ms_9	genus__68	species__27
3300014963_____Ga0134523_1000562	genus__68	species__27
MH552500_1_90023	genus__69	species__127
Long_crAss_ms_3	genus__70	species__54
MT774393_1_83412	genus__70	species__54
NG-14253_14_lib223986_5684_NODE_3_length_83015_cov_1213.7	genus__70	species__54
NC_021803	genus__71	species__128
sample-1_41_65330	genus__72	species__129
sample-1_516_11797	genus__73	species__131
sample-1_2370_3154	genus__74	species__134
sample-1_2475_2996	genus__75	species__135
sample-1_2809_2618	genus__76	species__136
sample-1_3596_1751	genus__77	species__140
sample-1_3684_1680	genus__78	species__142
sample-1_3983_1483	genus__79	species__143
sample-1_4798_1110	genus__80	species__149
